brand;model;year;mileage_km;engine_volume;engine_hp;n_owners;transmission;body_type;price_rub
BMW;X5_M;2017;122108.0;3.4;224.4;3.0;Manual;SUV;5622418
BMW;3 Series_M;2017;123966.0;3.2;214.4;3.0;Automatic;Sedan;4611645
BMW;X7_M;2018;147265.0;3.0;201.0;;Manual;SUV;5629097
BMW;X7_M;2016;107926.0;3.4;221.0;4.0;Automatic;SUV;5288016
BMW;X3;2011;17699.0;3.0;189.0;4.0;Manual;SUV;2961493
BMW;X5;2012;35770.0;2.7;178.2;4.0;Automatic;SUV;3123857
BMW;3 Series_M;2015;84554.0;3.1;198.4;4.0;Automatic;Sedan;4069994
BMW;X7;2017;127656.0;2.8;184.8;3.0;Automatic;SUV;3985625
BMW;X7_M;2021;191781.0;3.3;207.9;2.0;Manual;SUV;6674674
BMW;X5;2010;5000.0;2.9;182.7;4.0;Automatic;SUV;2684166
BMW;X3_M;2016;109986.0;3.3;221.1;4.0;Automatic;SUV;5221896
BMW;7 Series;2021;202591.0;2.6;174.2;2.0;Automatic;Sedan;3655200
BMW;3 Series;2014;74990.0;2.7;175.5;4.0;Manual;Sedan;2831806
BMW;X3_M;2021;190196.0;3.5;224.0;;Automatic;SUV;6806396
BMW;X5_M;2022;211149.0;3.2;214.4;3.0;Automatic;SUV;6973067
BMW;5 Series_M;2015;86293.0;3.3;207.9;4.0;Automatic;Sedan;4114404
BMW;X3;2021;201982.0;2.4;153.6;2.0;Manual;SUV;4567553
BMW;3 Series_M;2022;200068.0;3.4;214.2;2.0;Automatic;Sedan;5731865
BMW;X5;2020;181074.0;1.5;99.0;2.0;Automatic;SUV;4115265
BMW;X3_M;2013;55226.0;3.1;195.3;4.0;Automatic;SUV;4265856
BMW;X5_M;2010;5000.0;3.4;214.2;4.0;Manual;SUV;3386392
BMW;7 Series;2011;16750.0;3.2;201.6;4.0;Manual;Sedan;2724967
BMW;X5;2020;183639.0;2.2;143.0;2.0;Automatic;SUV;4338343
BMW;3 Series;2018;140037.0;2.2;143.0;3.0;Automatic;Sedan;3211441
BMW;3 Series_M;2012;36887.0;3.4;221.0;4.0;Automatic;Sedan;3567893
BMW;3 Series;2017;128171.0;2.4;151.2;3.0;Automatic;Sedan;3145946
BMW;5 Series;2016;113616.0;2.7;170.1;4.0;Automatic;Sedan;3114941
BMW;3 Series_M;2021;198345.0;;214.2;;Automatic;Sedan;5388566
BMW;7 Series;2012;36521.0;2.6;163.8;4.0;Automatic;Sedan;2614830
BMW;X5_M;2010;5000.0;3.2;211.2;4.0;Manual;SUV;3381357
BMW;5 Series;2015;90376.0;2.5;160.0;4.0;Automatic;Sedan;2919568
BMW;3 Series_M;2017;129371.0;3.4;227.8;3.0;Automatic;Sedan;4613381
BMW;7 Series;2015;87776.0;2.1;136.5;4.0;Automatic;Sedan;2871030
BMW;X5_M;2011;18650.0;3.0;195.0;4.0;Automatic;SUV;3701160
BMW;7 Series;2013;54062.0;2.4;158.4;4.0;Automatic;Sedan;2667969
BMW;5 Series_M;2015;89689.0;3.4;227.8;4.0;Automatic;Sedan;4226345
BMW;3 Series_M;2022;222273.0;3.2;201.6;3.0;Automatic;Sedan;5455911
BMW;X3_M;2015;91575.0;3.7;233.1;4.0;Manual;SUV;4957764
BMW;X5_M;2019;163610.0;3.4;217.6;3.0;Manual;SUV;6099969
BMW;X3_M;2016;103345.0;3.2;214.4;4.0;Automatic;SUV;5288095
BMW;3 Series_M;2022;212664.0;3.3;207.9;2.0;Automatic;Sedan;5572263
BMW;5 Series;2016;104399.0;3.1;198.4;4.0;Automatic;Sedan;3310310
BMW;X3_M;2015;90886.0;2.9;185.6;4.0;Automatic;SUV;4726648
BMW;X7_M;2021;193982.0;3.3;217.8;2.0;Manual;SUV;6685273
BMW;X3;2017;118912.0;2.6;169.0;3.0;Automatic;SUV;4057514
BMW;X3_M;2016;;3.2;211.2;4.0;Automatic;SUV;5249470
BMW;5 Series_M;2010;5000.0;3.2;211.2;4.0;Manual;Sedan;2975237
BMW;X5;2022;218263.0;3.3;207.9;3.0;Automatic;SUV;5066536
BMW;X3_M;2012;35762.0;3.7;244.2;4.0;Automatic;SUV;4258138
BMW;3 Series;2014;75264.0;1.8;118.8;4.0;Automatic;Sedan;2567518
BMW;X3_M;2012;37163.0;3.3;211.2;4.0;Automatic;SUV;4004033
BMW;3 Series;2021;201559.0;2.6;166.4;3.0;Automatic;Sedan;3630348
BMW;3 Series;2010;5000.0;2.7;178.2;4.0;Automatic;Sedan;2383304
BMW;X5_M;2021;193143.0;3.2;204.8;3.0;Manual;SUV;6687228
BMW;7 Series;2016;107375.0;2.3;147.2;4.0;Automatic;Sedan;3035047
BMW;7 Series;2018;151805.0;2.5;160.0;4.0;Automatic;Sedan;3182362
BMW;X7;2014;72101.0;2.7;178.2;4.0;Automatic;SUV;3461285
BMW;3 Series;2012;34212.0;1.9;123.5;4.0;Automatic;Sedan;2452106
BMW;X7_M;2010;5000.0;3.5;234.5;4.0;Manual;SUV;3496897
BMW;X7;2015;88525.0;2.4;158.4;4.0;Manual;SUV;3577686
BMW;X7_M;2018;145296.0;3.3;214.5;4.0;Automatic;SUV;5780461
BMW;5 Series_M;2012;37123.0;3.7;247.9;4.0;Automatic;Sedan;3682836
BMW;X3;2022;217947.0;3.3;207.9;2.0;Manual;SUV;5068297
BMW;X3_M;2019;158300.0;3.3;207.9;3.0;Automatic;SUV;6074843
BMW;X7;2011;17209.0;2.5;160.0;4.0;Automatic;SUV;2814342
BMW;3 Series;2016;105844.0;2.4;158.4;4.0;Automatic;Sedan;3058350
BMW;X3_M;2019;158740.0;2.9;188.5;3.0;Manual;SUV;5924535
BMW;3 Series_M;2021;201561.0;3.4;217.6;2.0;Automatic;Sedan;5410609
BMW;X7_M;2010;5000.0;3.1;195.3;4.0;Automatic;SUV;3314895
BMW;5 Series_M;2015;92108.0;3.1;207.7;4.0;Automatic;Sedan;4047060
BMW;3 Series;2014;70205.0;3.3;207.9;4.0;Manual;Sedan;3132309
BMW;X5;2015;95474.0;2.1;134.4;4.0;Manual;SUV;3370789
BMW;X7_M;2011;17600.0;3.0;192.0;4.0;Automatic;SUV;3649605
BMW;X7;2010;5000.0;1.8;113.4;4.0;Manual;SUV;2337349
BMW;7 Series_M;2011;18842.0;3.0;195.0;4.0;Automatic;Sedan;3221371
BMW;X5_M;2022;214141.0;3.1;198.4;3.0;Automatic;SUV;6827005
BMW;X5_M;2014;70768.0;3.6;226.8;4.0;Automatic;SUV;4706860
BMW;5 Series;2018;137622.0;2.2;138.6;4.0;Manual;Sedan;3223543
BMW;5 Series_M;2014;72010.0;3.3;207.9;4.0;Automatic;Sedan;3850209
BMW;7 Series;2010;5000.0;2.2;140.8;4.0;Automatic;Sedan;2165100
BMW;3 Series;2010;5000.0;2.4;158.4;4.0;Automatic;Sedan;2277131
BMW;7 Series_M;2021;203646.0;3.3;207.9;2.0;Automatic;Sedan;5278238
BMW;5 Series_M;2011;18101.0;3.3;221.1;4.0;Automatic;Sedan;3287431
BMW;7 Series;2011;18100.0;1.4;91.0;4.0;Automatic;Sedan;2122173
BMW;7 Series;2010;5000.0;2.9;185.6;4.0;Manual;Sedan;2478705
BMW;5 Series;2022;218253.0;1.8;120.6;2.0;Manual;Sedan;3523614
BMW;7 Series_M;2017;127960.0;;201.5;3.0;Automatic;Sedan;4453334
BMW;5 Series;2022;212818.0;;140.7;2.0;Manual;Sedan;3707069
BMW;5 Series_M;2018;147144.0;3.2;201.6;3.0;Automatic;Sedan;4702378
BMW;X3_M;2018;151857.0;3.3;207.9;4.0;Automatic;SUV;5640192
BMW;3 Series;2019;162801.0;2.5;167.5;3.0;Automatic;Sedan;3418207
BMW;X7_M;2016;113342.0;;217.6;4.0;Manual;SUV;5125706
BMW;X3;2020;175138.0;2.5;162.5;3.0;Automatic;SUV;4495794
BMW;X3;2014;72519.0;1.9;119.7;4.0;Manual;SUV;3158103
BMW;X7;2010;5000.0;1.4;92.4;4.0;Automatic;SUV;2216734
BMW;7 Series_M;2011;19042.0;3.6;237.6;4.0;Manual;Sedan;3419584
BMW;X3_M;2011;17994.0;3.0;198.0;4.0;Automatic;SUV;3686716
BMW;7 Series_M;2014;71083.0;;214.4;4.0;Automatic;Sedan;3961295
BMW;X3;2012;;2.8;176.4;4.0;Automatic;SUV;3089419
BMW;3 Series_M;2021;197951.0;3.4;217.6;3.0;Automatic;Sedan;5419931
BMW;X5;2019;166198.0;2.1;136.5;4.0;Automatic;SUV;4116843
BMW;3 Series_M;2010;5000.0;3.6;234.0;4.0;Automatic;Sedan;3134533
BMW;X5_M;2013;55322.0;3.0;201.0;4.0;Automatic;SUV;4271325
BMW;X3;2019;159291.0;2.9;194.3;3.0;Manual;SUV;4519660
BMW;3 Series;2014;72742.0;2.2;143.0;4.0;Manual;Sedan;2755278
BMW;3 Series;2017;128027.0;2.7;175.5;3.0;Manual;Sedan;3290091
BMW;5 Series_M;2014;73086.0;3.5;227.5;4.0;Automatic;Sedan;3953624
BMW;X3_M;2018;141996.0;3.7;247.9;4.0;Automatic;SUV;5939494
BMW;7 Series_M;2010;5000.0;3.6;241.2;4.0;Automatic;Sedan;3139246
BMW;5 Series_M;2017;126847.0;3.0;192.0;4.0;Automatic;Sedan;4478176
BMW;X5;2019;163523.0;2.3;149.5;3.0;Automatic;SUV;4173323
BMW;3 Series_M;2022;213243.0;3.1;201.5;2.0;Automatic;Sedan;5519406
BMW;7 Series_M;2011;18239.0;3.4;224.4;4.0;Manual;Sedan;3352790
BMW;X5;2013;55930.0;2.3;151.8;4.0;Automatic;SUV;3159991
BMW;5 Series;2020;186929.0;3.0;198.0;3.0;Automatic;Sedan;3702025
BMW;X3_M;2017;119774.0;3.6;234.0;3.0;Manual;SUV;5700734
BMW;X3_M;2022;221207.0;3.1;204.6;2.0;Automatic;SUV;6816149
BMW;5 Series_M;2017;123890.0;3.6;237.6;3.0;Automatic;Sedan;4695427
BMW;7 Series_M;2020;175051.0;3.3;207.9;2.0;Manual;Sedan;5202513
BMW;3 Series;2015;96346.0;2.8;176.4;4.0;Automatic;Sedan;2999600
BMW;X3_M;2013;54712.0;3.6;226.8;4.0;Automatic;SUV;4402568
BMW;X5_M;2015;86775.0;3.0;192.0;4.0;Automatic;SUV;4789033
BMW;X5_M;2021;196949.0;3.4;221.0;2.0;Automatic;SUV;6687275
BMW;X5;2010;5000.0;1.6;107.2;4.0;Manual;SUV;2284241
BMW;3 Series;2016;107888.0;2.7;180.9;4.0;Automatic;Sedan;3226351
BMW;X5;2010;5000.0;1.9;127.3;4.0;Automatic;SUV;2398942
BMW;3 Series;2022;222516.0;2.3;149.5;2.0;Manual;Sedan;3682417
BMW;5 Series;2011;17232.0;3.9;253.5;4.0;Automatic;Sedan;2988335
BMW;X5;2022;216658.0;2.4;151.2;3.0;Manual;SUV;4783049
BMW;X7_M;2010;5000.0;3.6;230.4;4.0;Automatic;SUV;3519106
BMW;X5;2015;92031.0;1.6;104.0;4.0;Automatic;SUV;3260801
BMW;7 Series;2017;128488.0;2.7;172.8;3.0;Automatic;Sedan;3237891
BMW;7 Series_M;2014;68613.0;3.1;207.7;4.0;Manual;Sedan;3890402
BMW;7 Series;2022;217981.0;2.9;194.3;3.0;Automatic;Sedan;3922926
BMW;X5_M;2019;159936.0;3.5;231.0;3.0;Manual;SUV;6142236
BMW;7 Series_M;2018;136986.0;3.2;214.4;4.0;Automatic;Sedan;4803911
